receiverAddress,Username,NewHam,NewHam,NewDegen,NewHam
0xd733cee40fd59dcd0b141d021e3a1e7e9096cf2f,pichi,0,0,8049.37,0
0xd60ddcd7c7d3820a7653dfabdf456555c63e13dd,minooart,0,0,6724.92,0
0x76b530845eeabe52d256535313fc01c64017e998,hircani200,0,0,6016.38,0
0x58cb89c8bbab3ff6b025fc140979cae5da7a53dd,homaamini,0,0,5933.61,0
0x796af61116ab898b4f5c9f6fad15313f52977c2d,artstudio48,0,0,5927.39,0
0xfb0abba905dd080c7e4d6b13211647bb73e10a95,naqmehmjd,0,0,5859.86,0
0x20da700ea03e9fe8bf3409d6f66105184aefb2fc,jacque,0,0,5686.25,0
0x27767e627098dcc312cb041d1fb7922877243658,100,0,0,4512.92,0
0x22e06291f55fecd5d659d5256daf24eb5e97a3f4,shabnampo,0,0,4502.58,0
0x931203a1cbde70a5ee7cc3c93b7fde6246d80514,shimashots,0,0,3876.66,0
0x95b2720881bbb0ff3fe707ebdea9835f7d36c737,layaart13,0,0,3681.27,0
0x18c1e496215bc58b18f9b291803565471a8fc9bc,marziojaqi,0,0,3529.63,0
0xf14f99a5e7706a13663e5b222595ca8a09d4af32,ruby111,0,0,3325,0
0x52a572e761bd06ac9d471f49add5dd9bcf5ade4d,zamask,0,0,3291.3,0
0xe06383ece7b8bbb6c3f65a95fc2b6450e9077a6c,reneecampbell,0,0,3200.37,0
0xb31a8f6745b45d95c776fd734ef6d78bd852cfc4,squishna,0,0,3165,0
0xb1ec5e77edc64ea8c7d073445707d0e31b58768f,adrijan,0,0,3109.51,0
0x13df035952316f5fb663c262064ee39e44aa6b43,evolve,0,0,3052.25,0
0xdca6f7cb3cf361c8df8fde119370f1b21b2fff63,abundance,0,0,2986.97,0
0x9076a53bac35b498dfb9b9afb60c120013fcdb68,nika-kh,0,0,2981.69,0
0xa86f00102c89e2cb3283d6ca6f900aeca5aecfdc,artbysalman,0,0,2853.91,0
0xe14ca0632c5430abddd40ba077da5fba8821a950,kraken8.eth,0,0,2844.4,0
0xe19753f803790d5a524d1fd710d8a6d821a8bb55,jonathancolton,0,0,2616.91,0
0xd4bf6958538f26266ef2a32db47d296323734b5a,mvr,0,0,2490.91,0
0xfaed18d6170eb58351e2268030c71de13d25b223,chronist,0,0,2197.27,0
0x3db4b7eb30509c4b132a1f98c908ef51564b90b7,kaveh-art,0,0,2118.89,0
0xfe819920199392cdd911acdaed84b38f30e27562,eriks,0,0,2030.92,0
0x720d505cb1d1b78178199dcd7c0f075c42163859,reisky,0,0,1947.2,0
0x9371d85f5f091b9b7eeee55ed9d3c08f394d1f7e,!1052411,0,0,1937.4,0
0xdcdbc62af7b9b3ad4dd3f122f5167ffbbe6d6077,lianaaa,0,0,1910.75,0
0xd7029bdea1c17493893aafe29aad69ef892b8ff2,dwr.eth,0,0,1830.42,0
0x8d13f65c5aa4a19b9aadb850204e7056d2e3d004,maryamm13,0,0,1818.27,0
